0111-3/01;Cultivo de arroz
2831-3/00;Fabricação de tratores agrícolas, peças e acessórios
2832-1/00;Fabricação de equipamentos para irrigação agrícola, peças e acessórios
2833-0/00;Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação
2840-2/00;Fabricação de máquinas-ferramenta, peças e acessórios
2851-8/00;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios
2852-6/00;Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo
2853-4/00;Fabricação de tratores, peças e acessórios, exceto agrícolas
2854-2/00;Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, peças e acessórios, exceto tratores
2861-5/00;Fabricação de máquinas para a indústria metalúrgica, peças e acessórios, exceto máquinas-ferramenta
2862-3/00;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo, peças e acessórios
2863-1/00;Fabricação de máquinas e equipamentos para a indústria têxtil, peças e acessórios
2864-0/00;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados, peças e acessórios
2865-8/00;Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos, peças e acessórios
2866-6/00;Fabricação de máquinas e equipamentos para a indústria do plástico, peças e acessórios
2869-1/00;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios
2910-7/01;Fabricação de automóveis, camionetas e utilitários
2910-7/02;Fabricação de chassis com motor para automóveis, camionetas e utilitários
2910-7/03;Fabricação de motores para automóveis, camionetas e utilitários
2920-4/01;Fabricação de caminhões e ônibus
2920-4/02;Fabricação de motores para caminhões e ônibus
2930-1/01;Fabricação de cabines, carrocerias e reboques para caminhões
2930-1/02;Fabricação de carrocerias para ônibus
2930-1/03;Fabricação de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhões e ônibus
2941-7/00;Fabricação de peças e acessórios para o sistema motor de veículos automotores
2942-5/00;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores
2943-3/00;Fabricação de peças e acessórios para o sistema de freios de veículos automotores
2944-1/00;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores
2945-0/00;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias
2949-2/01;Fabricação de bancos e estofados para veículos automotores
2949-2/99;Fabricação de outras peças e acessórios para veículos automotores não especificadas anteriormente
2950-6/00;Recondicionamento e recuperação de motores para veículos automotores
3011-3/01;Construção de embarcações de grande porte
3011-3/02;Construção de embarcações para uso comercial e para usos especiais, exceto de grande porte
3012-1/00;Construção de embarcações para esporte e lazer
3031-8/00;Fabricação de locomotivas, vagões e outros materiais rodantes
3032-6/00;Fabricação de peças e acessórios para veículos ferroviários
3041-5/00;Fabricação de aeronaves
3042-3/00;Fabricação de turbinas, motores e outros componentes e peças para aeronaves
3050-4/00;Fabricação de veículos militares de combate
3091-1/01;Fabricação de motocicletas
3091-1/02;Fabricação de peças e acessórios para motocicletas
3092-0/00;Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios
3099-7/00;Fabricação de equipamentos de transporte não especificados anteriormente
3101-2/00;Fabricação de móveis com predominância de madeira
3102-1/00;Fabricação de móveis com predominância de metal
3103-9/00;Fabricação de móveis de outros materiais, exceto madeira e metal
3104-7/00;Fabricação de colchões
3211-6/01;Lapidação de gemas
3211-6/02;Fabricação de artefatos de joalheria e ourivesaria
3211-6/03;Cunhagem de moedas e medalhas
3212-4/00;Fabricação de bijuterias e artefatos semelhantes
3220-5/00;Fabricação de instrumentos musicais, peças e acessórios
3230-2/00;Fabricação de artefatos para pesca e esporte
3240-0/01;Fabricação de jogos eletrônicos
3240-0/02;Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação
3240-0/03;Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação
3240-0/99;Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente
3250-7/01;Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório
3250-7/02;Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório
3250-7/03;Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral sob encomenda
3250-7/04;Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda
3250-7/05;Fabricação de materiais para medicina e odontologia
3250-7/06;Serviços de prótese dentária
3250-7/07;Fabricação de artigos ópticos
3250-7/09;Serviço de laboratório óptico
3291-4/00;Fabricação de escovas, pincéis e vassouras
3292-2/01;Fabricação de roupas de proteção e segurança e resistentes a fogo
3292-2/02;Fabricação de equipamentos e acessórios para segurança pessoal e profissional
3299-0/01;Fabricação de guarda-chuvas e similares
3299-0/02;Fabricação de canetas, lápis e outros artigos para escritório
3299-0/03;Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos
3299-0/04;Fabricação de painéis e letreiros luminosos
3299-0/05;Fabricação de aviamentos para costura
3299-0/06;Fabricação de velas, inclusive decorativas
3299-0/99;Fabricação de produtos diversos não especificados anteriormente
3311-2/00;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos
3312-1/02;Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle
3312-1/03;Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
3312-1/04;Manutenção e reparação de equipamentos e instrumentos ópticos
3313-9/01;Manutenção e reparação de geradores, transformadores e motores elétricos
3313-9/02;Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos
3313-9/99;Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente
3314-7/01;Manutenção e reparação de máquinas motrizes não-elétricas
3314-7/02;Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas
3314-7/03;Manutenção e reparação de válvulas industriais
3314-7/04;Manutenção e reparação de compressores
3314-7/05;Manutenção e reparação de equipamentos de transmissão para fins industriais
3314-7/06;Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas
3314-7/07;Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial
3314-7/08;Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas
3314-7/09;Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório
3314-7/10;Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente
3314-7/11;Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária
3314-7/12;Manutenção e reparação de tratores agrícolas
3314-7/13;Manutenção e reparação de máquinas-ferramenta
3314-7/14;Manutenção e reparação de máquinas e equipamentos para a prospecção e extração de petróleo
3314-7/15;Manutenção e reparação de máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo
3314-7/16;Manutenção e reparação de tratores, exceto agrícolas
3314-7/17;Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores
3314-7/18;Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta
3314-7/19;Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo
3314-7/20;Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados
3314-7/21;Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos
3314-7/22;Manutenção e reparação de máquinas e aparelhos para a indústria do plástico
3314-7/99;Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente
3315-5/00;Manutenção e reparação de veículos ferroviários
3316-3/01;Manutenção e reparação de aeronaves, exceto a manutenção na pista
3316-3/02;Manutenção de aeronaves na pista *
3317-1/01;Manutenção e reparação de embarcações e estruturas flutuantes
3317-1/02;Manutenção e reparação de embarcações para esportes e lazer
3319-8/00;Manutenção e reparação de equipamentos e produtos não especificados anteriormente
3321-0/00;Instalação de máquinas e equipamentos industriais
3329-5/01;Serviços de montagem de móveis de qualquer material
3329-5/99;Instalação de outros equipamentos não especificados anteriormente
3511-5/01;Geração de energia elétrica
3511-5/02;Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica
3512-3/00;Transmissão de energia elétrica
3513-1/00;Comércio atacadista de energia elétrica
3514-0/00;Distribuição de energia elétrica
3520-4/01;Produção de gás; processamento de gás natural
3520-4/02;Distribuição de combustíveis gasosos por redes urbanas
3530-1/00;Produção e distribuição de vapor, água quente e ar condicionado
3600-6/01;Captação, tratamento e distribuição de água
3600-6/02;Distribuição de água por caminhões
3701-1/00;Gestão de redes de esgoto
3702-9/00;Atividades relacionadas a esgoto, exceto a gestão de redes
3811-4/00;Coleta de resíduos não-perigosos
3812-2/00;Coleta de resíduos perigosos
3821-1/00;Tratamento e disposição de resíduos não-perigosos
3822-0/00;Tratamento e disposição de resíduos perigosos
3831-9/01;Recuperação de sucatas de alumínio
3831-9/99;Recuperação de materiais metálicos, exceto alumínio
3832-7/00;Recuperação de materiais plásticos
3839-4/01;Usinas de compostagem
3839-4/99;Recuperação de materiais não especificados anteriormente
3900-5/00;Descontaminação e outros serviços de gestão de resíduos
4110-7/00;Incorporação de empreendimentos imobiliários
4120-4/00;Construção de edifícios
4211-1/01;Construção de rodovias e ferrovias
4211-1/02;Pintura para sinalização em pistas rodoviárias e aeroportos
4212-0/00;Construção de obras de arte especiais
4213-8/00;Obras de urbanização - ruas, praças e calçadas
4221-9/01;Construção de barragens e represas para geração de energia elétrica
4221-9/02;Construção de estações e redes de distribuição de energia elétrica
4221-9/03;Manutenção de redes de distribuição de energia elétrica
4221-9/04;Construção de estações e redes de telecomunicações
4221-9/05;Manutenção de estações e redes de telecomunicações
4222-7/01;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação
4222-7/02;Obras de irrigação
4223-5/00;Construção de redes de transportes por dutos, exceto para água e esgoto
4291-0/00;Obras portuárias, marítimas e fluviais
4292-8/01;Montagem de estruturas metálicas
4292-8/02;Obras de montagem industrial
4299-5/01;Construção de instalações esportivas e recreativas
4299-5/99;Outras obras de engenharia civil não especificadas anteriormente
4311-8/01;Demolição de edifícios e outras estruturas
4311-8/02;Preparação de canteiro e limpeza de terreno
4312-6/00;Perfurações e sondagens
4313-4/00;Obras de terraplenagem
4319-3/00;Serviços de preparação do terreno não especificados anteriormente
4321-5/00;Instalação e manutenção elétrica
4322-3/01;Instalações hidráulicas, sanitárias e de gás
4322-3/02;Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração
4322-3/03;Instalações de sistema de prevenção contra incêndio
4329-1/01;Instalação de painéis publicitários
4329-1/02;Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre
4329-1/03;Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes
4329-1/04;Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos
4329-1/05;Tratamentos térmicos, acústicos ou de vibração
4329-1/99;Outras obras de instalações em construções não especificadas anteriormente
4330-4/01;Impermeabilização em obras de engenharia civil
4330-4/02;Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material
4330-4/03;Obras de acabamento em gesso e estuque
4330-4/04;Serviços de pintura de edifícios em geral
4330-4/05;Aplicação de revestimentos e de resinas em interiores e exteriores
4330-4/99;Outras obras de acabamento da construção
4391-6/00;Obras de fundações
4399-1/01;Administração de obras
4399-1/02;Montagem e desmontagem de andaimes e outras estruturas temporárias
4399-1/03;Obras de alvenaria
4399-1/04;Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras
4399-1/05;Perfuração e construção de poços de água
4399-1/99;Serviços especializados para construção não especificados anteriormente
4511-1/01;Comércio a varejo de automóveis, camionetas e utilitários novos
4511-1/02;Comércio a varejo de automóveis, camionetas e utilitários usados
4511-1/03;Comércio por atacado de automóveis, camionetas e utilitários novos e usados
4511-1/04;Comércio por atacado de caminhões novos e usados
4511-1/05;Comércio por atacado de reboques e semi-reboques novos e usados
4511-1/06;Comércio por atacado de ônibus e microônibus novos e usados
4512-9/01;Representantes comerciais e agentes do comércio de veículos automotores
4512-9/02;Comércio sob consignação de veículos automotores
4520-0/01;Serviços de manutenção e reparação mecânica de veículos automotores
4520-0/02;Serviços de lanternagem ou funilaria e pintura de veículos automotores
4520-0/03;Serviços de manutenção e reparação elétrica de veículos automotores
4520-0/04;Serviços de alinhamento e balanceamento de veículos automotores
4520-0/05;Serviços de lavagem, lubrificação e polimento de veículos automotores
4520-0/06;Serviços de borracharia para veículos automotores
4520-0/07;Serviços de instalação, manutenção e reparação de acessórios para veículos automotores
4520-0/08;Serviços de capotaria
4530-7/01;Comércio por atacado de peças e acessórios novos para veículos automotores
4530-7/02;Comércio por atacado de pneumáticos e câmaras-de-ar
4530-7/03;Comércio a varejo de peças e acessórios novos para veículos automotores
4530-7/04;Comércio a varejo de peças e acessórios usados para veículos automotores
4530-7/05;Comércio a varejo de pneumáticos e câmaras-de-ar
4530-7/06;Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores
4541-2/01;Comércio por atacado de motocicletas e motonetas
4541-2/02;Comércio por atacado de peças e acessórios para motocicletas e motonetas
4541-2/03;Comércio a varejo de motocicletas e motonetas novas
4541-2/04;Comércio a varejo de motocicletas e motonetas usadas
4541-2/05;Comércio a varejo de peças e acessórios para motocicletas e motonetas
4542-1/01;Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios
4542-1/02;Comércio sob consignação de motocicletas e motonetas
4543-9/00;Manutenção e reparação de motocicletas e motonetas
4611-7/00;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos
4612-5/00;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos
4613-3/00;Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens
4614-1/00;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves
4615-0/00;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico
4616-8/00;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem
4617-6/00;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo
4618-4/01;Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria
4618-4/02;Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares
4618-4/03;Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações
4618-4/99;Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente
4619-2/00;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado
4621-4/00;Comércio atacadista de café em grão
4622-2/00;Comércio atacadista de soja
4623-1/01;Comércio atacadista de animais vivos
4623-1/02;Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal
4623-1/03;Comércio atacadista de algodão
4623-1/04;Comércio atacadista de fumo em folha não beneficiado
4623-1/05;Comércio atacadista de cacau *
4623-1/06;Comércio atacadista de sementes, flores, plantas e gramas
4623-1/07;Comércio atacadista de sisal
4623-1/08;Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada
4623-1/09;Comércio atacadista de alimentos para animais
4623-1/99;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente
4631-1/00;Comércio atacadista de leite e laticínios
4632-0/01;Comércio atacadista de cereais e leguminosas beneficiados
4632-0/02;Comércio atacadista de farinhas, amidos e féculas
4632-0/03;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada
4633-8/01;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos
4633-8/02;Comércio atacadista de aves vivas e ovos
4633-8/03;Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação
4634-6/01;Comércio atacadista de carnes bovinas e suínas e derivados
4634-6/02;Comércio atacadista de aves abatidas e derivados
4634-6/03;Comércio atacadista de pescados e frutos do mar
4634-6/99;Comércio atacadista de carnes e derivados de outros animais
4635-4/01;Comércio atacadista de água mineral
4635-4/02;Comércio atacadista de cerveja, chope e refrigerante
4635-4/03;Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada
4635-4/99;Comércio atacadista de bebidas não especificadas anteriormente
4636-2/01;Comércio atacadista de fumo beneficiado
4636-2/02;Comércio atacadista de cigarros, cigarrilhas e charutos
4637-1/01;Comércio atacadista de café torrado, moído e solúvel
4637-1/02;Comércio atacadista de açúcar
4637-1/03;Comércio atacadista de óleos e gorduras
4637-1/04;Comércio atacadista de pães, bolos, biscoitos e similares
4637-1/05;Comércio atacadista de massas alimentícias
4637-1/06;Comércio atacadista de sorvetes
4637-1/07;Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes
4637-1/99;Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente
4639-7/01;Comércio atacadista de produtos alimentícios em geral
4639-7/02;Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada
4641-9/01;Comércio atacadista de tecidos
4641-9/02;Comércio atacadista de artigos de cama, mesa e banho
4641-9/03;Comércio atacadista de artigos de armarinho
4642-7/01;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
4642-7/02;Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho
4643-5/01;Comércio atacadista de calçados
4643-5/02;Comércio atacadista de bolsas, malas e artigos de viagem
4644-3/01;Comércio atacadista de medicamentos e drogas de uso humano
4644-3/02;Comércio atacadista de medicamentos e drogas de uso veterinário
4645-1/01;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios
4645-1/02;Comércio atacadista de próteses e artigos de ortopedia
4645-1/03;Comércio atacadista de produtos odontológicos
4646-0/01;Comércio atacadista de cosméticos e produtos de perfumaria
4646-0/02;Comércio atacadista de produtos de higiene pessoal
4647-8/01;Comércio atacadista de artigos de escritório e de papelaria
4647-8/02;Comércio atacadista de livros, jornais e outras publicações
4649-4/01;Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico
4649-4/02;Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico
4649-4/03;Comércio atacadista de bicicletas, triciclos e outros veículos recreativos
4649-4/04;Comércio atacadista de móveis e artigos de colchoaria
4649-4/05;Comércio atacadista de artigos de tapeçaria; persianas e cortinas
4649-4/06;Comércio atacadista de lustres, luminárias e abajures
4649-4/07;Comércio atacadista de filmes, CDs, DVDs, fitas e discos
4649-4/08;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar
4649-4/09;Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada
4649-4/10;Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas
4649-4/99;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente
4651-6/01;Comércio atacadista de equipamentos de informática
4651-6/02;Comércio atacadista de suprimentos para informática
4652-4/00;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
4661-3/00;Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças
4662-1/00;Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças
4663-0/00;Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças
4664-8/00;Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças
4665-6/00;Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças
4669-9/01;Comércio atacadista de bombas e compressores; partes e peças
4669-9/99;Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças
4671-1/00;Comércio atacadista de madeira e produtos derivados
4672-9/00;Comércio atacadista de ferragens e ferramentas
4673-7/00;Comércio atacadista de material elétrico
4674-5/00;Comércio atacadista de cimento
4679-6/01;Comércio atacadista de tintas, vernizes e similares
4679-6/02;Comércio atacadista de mármores e granitos
4679-6/03;Comércio atacadista de vidros, espelhos e vitrais
4679-6/04;Comércio atacadista especializado de materiais de construção não especificados anteriormente
4679-6/99;Comércio atacadista de materiais de construção em geral
4681-8/01;Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)
4681-8/02;Comércio atacadista de combustíveis realizado por transportador retalhista (TRR)
4681-8/03;Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante
4681-8/04;Comércio atacadista de combustíveis de origem mineral em bruto
4681-8/05;Comércio atacadista de lubrificantes
4682-6/00;Comércio atacadista de gás liqüefeito de petróleo (GLP)
4683-4/00;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo
4684-2/01;Comércio atacadista de resinas e elastômeros
4684-2/02;Comércio atacadista de solventes
4684-2/99;Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente
4685-1/00;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção
4686-9/01;Comércio atacadista de papel e papelão em bruto
4686-9/02;Comércio atacadista de embalagens
4687-7/01;Comércio atacadista de resíduos de papel e papelão
4687-7/02;Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão
4687-7/03;Comércio atacadista de resíduos e sucatas metálicos
4689-3/01;Comércio atacadista de produtos da extração mineral, exceto combustíveis
4689-3/02;Comércio atacadista de fios e fibras têxteis beneficiados *
4689-3/99;Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente
4691-5/00;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios
4692-3/00;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários
4693-1/00;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários
4711-3/01;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados
4711-3/02;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados
4712-1/00;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns
4713-0/01;Lojas de departamentos ou magazines
4713-0/02;Lojas de variedades, exceto lojas de departamentos ou magazines
4713-0/03;Lojas duty free de aeroportos internacionais
4721-1/02;Padaria e confeitaria com predominância de revenda
4721-1/03;Comércio varejista de laticínios e frios
4721-1/04;Comércio varejista de doces, balas, bombons e semelhantes
4722-9/01;Comércio varejista de carnes - açougues
4722-9/02;Peixaria
4723-7/00;Comércio varejista de bebidas
4724-5/00;Comércio varejista de hortifrutigranjeiros
4729-6/01;Tabacaria
4729-6/02;Comércio varejista de mercadorias em lojas de conveniência
4729-6/99;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente
4731-8/00;Comércio varejista de combustíveis para veículos automotores
4732-6/00;Comércio varejista de lubrificantes
4741-5/00;Comércio varejista de tintas e materiais para pintura
4742-3/00;Comércio varejista de material elétrico
4743-1/00;Comércio varejista de vidros
4744-0/01;Comércio varejista de ferragens e ferramentas
4744-0/02;Comércio varejista de madeira e artefatos
4744-0/03;Comércio varejista de materiais hidráulicos
4744-0/04;Comércio varejista de cal, areia, pedra britada, tijolos e telhas
4744-0/05;Comércio varejista de materiais de construção não especificados anteriormente
4744-0/06;Comércio varejista de pedras para revestimento
4744-0/99;Comércio varejista de materiais de construção em geral
4751-2/01;Comércio varejista especializado de equipamentos e suprimentos de informática
4751-2/02;Recarga de cartuchos para equipamentos de informática
4752-1/00;Comércio varejista especializado de equipamentos de telefonia e comunicação
4753-9/00;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
4754-7/01;Comércio varejista de móveis
4754-7/02;Comércio varejista de artigos de colchoaria
4754-7/03;Comércio varejista de artigos de iluminação
4755-5/01;Comércio varejista de tecidos
4755-5/02;Comercio varejista de artigos de armarinho
4755-5/03;Comercio varejista de artigos de cama, mesa e banho
4756-3/00;Comércio varejista especializado de instrumentos musicais e acessórios
4757-1/00;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação
4759-8/01;Comércio varejista de artigos de tapeçaria, cortinas e persianas
